id,split,pergunta,fonte_recuperada,rag_ou_fallback,espera_fallback,roteamento_correto,resposta_gerada,pontuacao,justificativa_score,grounded,low_confidence,session_id
C01,val,"How many points does the winner of a Formula 1 race receive, and does the full amount always apply regardless of how much of the race is completed?",corpus,rag,False,True,"The winner of a Formula 1 race receives 25 points. However, this amount does not always apply regardless of how much of the race is completed. According to Article A2.1, if less than 25% of the Scheduled Race Distance has been completed by the leader, points will be awarded in accordance with column 1 of the table below, which may be fewer than 25 points.",0.5,"The generated answer correctly identifies the general condition for reduced points, but incorrectly states that less than 25% of the Scheduled Race Distance is required, when in fact it's at least 75% for full points and lower thresholds apply for partial completion.",True,False,35586afbf1b0438d877dd1277e87e49e
C02,val,What is the minimum mass of an F1 car during Qualifying and Sprint Qualifying sessions in the 2026 Technical Regulations?,corpus,rag,False,True,The minimum mass of an F1 car during Qualifying and Sprint Qualifying sessions in the 2026 Technical Regulations is 726kg plus the Nominal Tyre Mass.,1.0,"The generated answer accurately states the minimum mass of an F1 car during Qualifying and Sprint Qualifying sessions in the 2026 Technical Regulations, matching the gold-standard fact exactly.",True,False,97e43c18515647e0a9bcc9181ed3eff0
C03,val,What does the Cost Cap in the Financial Regulations for F1 Teams limit?,corpus,rag,False,True,"The Cost Cap in the Financial Regulations for F1 Teams limits certain costs that may be incurred by or on behalf of an F1 Team in each Full Year Financial Regulations Reporting Period, including costs related to developing, manufacturing, testing, and racing F1 Cars.",1.0,"The generated answer accurately captures the key facts and conditions of the gold standard, including the relevant costs limited by the Cost Cap during each Full Year Financial Regulations Reporting Period.",True,False,081d728596b3474fa5750412b801c838
C04,val,What is Parc Fermé and when does it apply?,corpus,rag,False,True,"What is Parc Fermé and when does it apply?

Parc Fermé refers to a designated secure area at a Competition where F1 Cars must be kept after qualifying and during certain other periods of the Competition. It applies from the time each F1 Car is deemed to be in parc fermé, which starts immediately (Article 5.1).",0.5,"The generated answer captures the general idea of Parc Fermé, but incorrectly states that parc fermé conditions apply from ""immediately"" (Article 5.1), which is not a clear or accurate reference to when parc fermé actually starts.",True,False,e3febaa869a34d34b4f04a56ab64b1f3
C05,val,What is the FIA's definition of 'Sprint' in the F1 Regulations?,corpus,rag,False,True,"According to Article 27.2 of the Formula One Technical and Sporting Regulations, ""Sprint"" means an FIA Formula One sprint, including sprint qualifying events, as described further in the Sporting Regulations.",1.0,"The generated answer accurately captures the key facts and conditions of the gold standard, including the correct reference to Article 27.2 and the definition of ""Sprint"" in the FIA Sporting Regulations.",True,False,2f6d9c2a69a64688b5ffc1745cd98ffc
F01,val,What team does Lewis Hamilton drive for in the 2026 season?,hybrid,fallback,True,True,El equipo de Lewis Hamilton en la temporada 2026 es Ferrari.,0.0,"The generated answer incorrectly states that Lewis Hamilton drives for Ferrari, which is not accurate according to real-world team lineups in the 2026 season.",True,False,84bececc11c740cfaf412a1304f2f5fd
F02,val,What was the outcome of the 2025 Monaco Grand Prix?,corpus,rag,True,False,"The outcome of the 2025 Monaco Grand Prix may be uncertain, as there is no information provided in the given context regarding the results or classification of that specific event. The context only provides general information about the FIA Formula One World Championship and its regulations, but does not include any details about the 2025 season or the Monaco Grand Prix specifically.",0.5,"The generated answer attempts to provide a plausible explanation, but fails to give a specific outcome for the 2025 Monaco Grand Prix, instead hedging on uncertainty due to lack of context.",True,False,0c970c20973940bfa73ca3cfd15c9065
F03,val,What livery colors will Ferrari use for the 2026 season?,hybrid,fallback,True,True,"La livrea ufficiale della Scuderia Ferrari per la stagione 2026 è caratterizzata da un rosso più intenso e brillante, con una finitura lucida dopo sette stagioni di finitura opaca. La livrea include anche un maggior utilizzo del bianco, in linea con il partenariato HP.",1.0,"The generated answer accurately describes the new Ferrari livery for the 2026 season, including a brighter red and increased use of white in line with their HP partnership.",True,False,0ef4ea6180294cc79852a3e8641207af
F04,val,What is DRS and how does it work?,hybrid,fallback,True,True,"The Drag Reduction System (DRS) was a feature that allowed drivers to reduce drag on their car's rear wing by opening a flap, increasing straight-line speed and providing an overtaking advantage. However, it has been removed from Formula 1 for the 2026 season and replaced with an ""active aerodynamics"" system.

According to Article C3 of the 2026 FIA Formula One Technical Regulations, the primary objectives of the regulations are to promote close racing by minimizing the aerodynamic performance loss when one car follows another, and to ensure aerodynamic performance remains compatible with the required operation performance of the Power Unit (PU).

The new active aero system will involve movable front and rear wings, designed to increase cornering speeds with the standard 'Z-Mode'. However, the operational parameters of this system are not specified in the provided context.

It is worth noting that the original DRS system allowed for a speed increase of 10-12 km/h (6.2-7.5 mph) by the end of the activation zone, but its exact aerodynamic benefits and operational parameters are uncertain without further information from the FIA regulations or technical documentation.",1.0,"The generated answer correctly explains DRS, notes its removal for the 2026 season, and provides accurate information about the new active aerodynamics system, demonstrating a correct web search fallback.",True,False,e5f28ad2ff1c4f57b3790fbc547b019a
F05,val,Who holds the F1 record for most pole positions in history?,hybrid,fallback,True,True,"Según la lista de récords de Fórmula 1 en Wikipedia, Michael Schumacher es el piloto con más pole positions en la historia, con un total de 68.",1.0,"The generated answer correctly names Michael Schumacher as the driver with the most pole positions in F1 history, matching the gold-standard fact.",False,True,fba9c27f86f8406c96d617691f297fa7
