id,split,pergunta,fonte_recuperada,rag_ou_fallback,espera_fallback,roteamento_correto,resposta_gerada,pontuacao,justificativa_score,grounded,low_confidence,session_id
C06,test,What is the Full Year Reporting Deadline under the F1 Teams Financial Regulations?,hybrid,fallback,False,False,"O prazo para a entrega dos relatórios financeiros anuais é 19h00 CET em 31 de março, ou no primeiro dia útil seguinte, relativamente ao período de relatório financeiro que termina em 31 de dezembro do ano anterior.",1.0,"The generated answer accurately captures the key facts and conditions of the gold standard, including the deadline time, date, and condition for non-business days.",True,False,70eb43e9cf73459a8106ded4c0274770
C07,test,What does the FIA F1 Technical Regulations define as the 'Power Unit'?,corpus,rag,False,True,"The FIA F1 Technical Regulations define the 'Power Unit' as a constituent element of the Power Unit, as set out within the first column of the tables within Appendix E2.",0.0,"The generated answer fails to provide a clear definition of the 'Power Unit' and instead refers to a table within Appendix E2, which is not relevant to defining the term.",True,False,05a744b519564eb2993e0400e0a4d2ab
C08,test,How are penalties for causing a collision or on-track incident decided under the Sporting Regulations?,corpus,rag,False,True,"According to Article 37.9 of the FIA Formula One Sporting Regulations, penalties for causing a collision or on-track incident are decided by the stewards at their discretion. Unless it is clear that a driver was wholly or predominantly to blame for an Incident, no penalty will be imposed. The stewards may impose specific penalties as set out in these regulations, in addition to or instead of other available penalties.",1.0,"The generated answer accurately captures the key facts and conditions of the gold standard, including the stewards' discretion in imposing penalties and the specific details regarding penalty types and thresholds.",True,False,04ccbb3377a245f39836b355a7845542
C09,test,When is no points awarded to the leader of a Sprint session?,corpus,rag,False,True,No points will be awarded to the leader of a Sprint session if they have completed less than 50% of the Scheduled Sprint Distance.,0.5,"The generated answer is partially correct, as it captures the general idea of completing less than 50% of the Scheduled Sprint Distance, but misses the condition of having completed fewer than two complete and consecutive laps.",True,False,520733ad490449a183dfc1205841027d
C10,test,What penalty applies the first time a driver uses an additional Power Unit element beyond the number prescribed for the Championship?,hybrid,fallback,False,False,"La respuesta a la pregunta es que el Material Sporting Penalty aplicable cuando un conductor utiliza un componente de motor interno no autorizado, excediendo la asignación permitida de dichos componentes según lo especificado en el artículo 24.1 de las Regulaciones Técnicas FIA de Fórmula 1, es una deducción de puntos en el Campeonato de Conductores y/o Constructores para el equipo titular del fabricante de motores involucrado en la infracción que se produjo durante el período de informe financiero correspondiente a la temporada.",0.5,"The generated answer correctly identifies the type of penalty (Sporting Penalty) and its application, but incorrectly states that it's a deduction of points in the Championship for the team involved, when in fact it's a grid place penalty as specified in the grading criterion.",False,True,7d8a959d290549cda4c1cf1cf9714862
F06,test,What is the ticket price for the 2026 Monaco Grand Prix?,hybrid,fallback,True,True,"La información sobre los precios de las entradas para el Gran Premio de Mónaco 2026 no se encuentra en la documentación proporcionada. Sin embargo, según la información disponible en línea, los precios varían dependiendo del tipo de experiencia elegida y pueden oscilar entre €500 y €5.500.",0.5,"The generated answer attempts to provide a plausible price range, but it's not specific enough and doesn't capture the exact conditions of the gold answer (which is intentionally outside the corpus).",False,True,406974db044b4b1b8b685c00158fdc5b
F07,test,Which city will host the first race of the 2026 F1 calendar?,hybrid,fallback,True,True,"Segundo o calendário de corridas da Fórmula 1 para a temporada de 2026, a primeira corrida será realizada em Melbourne, na Austrália, entre os dias 6 e 8 de março.",0.5,"The generated answer names a specific city (Melbourne) but the date range is not provided, which is part of the key facts/conditions of the gold answer.",True,False,dcc886e6b48b4987b798cdbe70b66f83
F08,test,Who is Max Verstappen contracted with for the 2027 season?,hybrid,fallback,True,True,"Het antwoord op de vraag wie Max Verstappen contractueel verbonden is voor het seizoen 2027, kan niet met zekerheid worden gegeven. Volgens de beschikbare context zijn er verschillende bronnen die suggereren dat hij mogelijk een nieuw contract zal tekenen bij Red Bull, maar er zijn ook bronnen die vermelden dat hij een exit-clausule heeft in zijn huidige contract en mogelijk naar een andere team zou kunnen overstappen.",0.5,"The generated answer attempts to provide a plausible team (Red Bull) but also acknowledges uncertainty and an alternative possibility, indicating it's partially correct in its general idea but lacks specificity and clarity.",False,True,a3d057d122b14727887cdddc04a495d7
F09,test,What is the fastest lap ever recorded at Monza?,hybrid,fallback,True,True,"A resposta pode ser incerta devido à falta de informações específicas sobre a temporada 2026. No entanto, podemos consultar os dados disponíveis até abril de 2026.

De acordo com o contexto fornecido, o recorde de velocidade mais rápido registrado em Monza foi estabelecido por Max Verstappen durante a qualificação do Grande Prêmio da Itália de 2025, quando ele registrou uma volta em 1:18.792 e uma velocidade média de 264.681 km/h.

O recorde de velocidade mais rápida registrada em uma corrida foi estabelecido por Lando Norris durante o Grande Prêmio da Itália de 2025, quando ele registrou uma volta em 1:20.901 e uma velocidade média de 257.781 km/h.

Portanto, a resposta mais precisa é que o recorde de velocidade mais rápido registrado em Monza até abril de 2026 foi estabelecido por Max Verstappen durante a qualificação do Grande Prêmio da Itália de 2025, com uma volta em 1:18.792 e uma velocidade média de 264.681 km/h.",0.5,"The generated answer provides specific lap times and conditions, but the key fact that it's a record from qualifying (not racing) is not explicitly stated, which might be considered a crucial detail for accuracy.",True,False,ea983b9a732341a99832ed92a5195f94
F10,test,Which streaming platform broadcasts F1 races in the United States?,hybrid,fallback,True,True,"Según el acuerdo entre F1 y Apple, a partir de 2026, la plataforma de streaming Apple TV será la única que transmitirá las carreras de Fórmula 1 en los Estados Unidos.",1.0,"The generated answer accurately states that Apple TV will be the exclusive streaming platform for F1 races in the US, as per the agreement between F1 and Apple.",True,False,5ff9dc4dae714f8490a980dd816d0bea
